url,description,name
,"This is the fourth time for HKUST and UCLA to jointly hold HKUST-UCLA 
the summer UG research program-- Research in Industrial Projects for 
Students-Hong Kong (RIPS-HK). The application is open to any UG students 
with HK- or China-citizenship.,Research in Industrial Projects for Students (RIPS) is an innovative 
education program launched by the founding director, Prof. Tony Chan, of 
the Institute of Pure and Applied Mathematics (IPAM) at UCLA in 2002. This 
is a nine-week summer program for senior undergraduate students to form 
teams of four to work on a real-world research project proposed by a 
sponsor from industry or the public sector under the guidance of an 
academic mentor. Most of these projects involve both analytic and 
computational work. The students, with direction from their academic 
mentor and industrial sponsor, will learn about the problem, master the 
latest analytical and computational approaches and techniques to solve it, 
and develop report-writing and public-speaking skills to be able to make 
professional presentations about the progress and results of their work to 
a scientific audience. Beside the RIPS program in Los Angeles, IPAM has 
collaborated with partners in Beijing and Berlin to offer RIPS-Beijing and 
RIPS-Berlin at Beijing and Berlin, respectively.,RIPS-HK was first launched at HKUST in 2011. Past industrial sponsors 
include ,. We are happy to 
cooperate with UCLA-IPAM to offer RIPS-HK again this year. RIPS-HK 2014 
will run from 8 June 2014 to 9 August 2014 at HKUST. It is essential that 
the students are available for the duration of the program; late arrivals 
and early departures are not possible.  Students selected to join RIPS-HK 
will receive a total of HKD10,000 as stipend upon successful completion of 
the project.,For more information, please visit , or email 
,. Deadline for application is ,.","HKUST-UCLA Joint Summer UG Research Program -- Research in Industrial 
Projects for Students-Hong Kong (RIPS-HK) 2014"
,"Hackathon@HKUST 2014 (26-27 April 2014),Website: ,Date: 26-27 April 2014 (Sat-Sun),Here's a chance to spend your weekend in the most creative way.,Hackathon@HKUST 2014 will be a weekend event where HKUST students can 
propose an idea for a software application, build it, and present it to 
the public. It will be held on the weekend of 26-27 April 2014. You will 
get to form teams, propose your idea, and build a prototype in 24 hours. 
During the event, there will be mentors, entrepreneurs, and industry 
experts who will help the teams. Of course, we will provide you with free 
flow of snacks, pizza, and other refreshments. Hackathon@HKUST is the 
first event of its kind to be organized at a university in Hong Kong.,Hackathon@HKUST 2014 will take a competition format. At the beginning 
of the event, participants will be able to form teams, brainstorm for 
solution ideas, and design the system. Teams will then implement their 
solution within 24 hours. Following that, they will present their solution 
in front of a judging panel that consists of faculty members from CSE, 
HKUST Entrepreneurship Center, a HKUST alumnus entrepreneur, as well as a 
leading representative of the Hong Kong startup community. There will be a 
number of prizes and internship opportunities for the winning teams.,Hackathon@HKUST 2014 is open to ALL undergraduate and postgraduate 
students of HKUST. Students will form teams of 2-5 members, either before 
the event, or at the beginning of the event. Each team MUST have at least 
one member with programming skills. Other team members can take various 
roles, such as business idea generation, user interface design, etc. Your 
solution can be a desktop application, web application or mobile 
application.,Hackathon@HKUST 2014 will also feature inspiring speakers to share 
their experiences, and many startup companies are expected to attend the 
final presentations. The event will be a great opportunity to network with 
companies who are looking for talents here, at HKUST. For those interested 
in pursuing their business idea further, this will also be a chance to 
connect with experienced mentors.,Do seize the opportunity to develop and showcase your talent!",Hackathon@HKUST 2014 (26-27 April 2014)
,"Dr Tian Fang, Postdoctoral Fellow of CSE, was awarded the second class 
honor in the Ministry of Education Higher Education Outstanding Scientific 
Research Output Awards (Science and Technology) 2013. The awards recognize 
outstanding research projects being carried out at tertiary institutions 
throughout China.,The purpose of the Dr Fang's pioneer project ""Theories and Methods of 
Earth Surface Feature Modeling and Visualization Based on Multi-Sensor 
Spatial Data"" is to explore the computer pattern recognition theory to 
implement complex 3D city reconstruction and improve segmentation 
accuracy. Dr Fang and his collaborators from Beijing Normal University and 
Wuhan University have made outstanding contributions to the research and 
application of image segmentation and intelligent data 3D scene 
reconstruction. They have put forward a series of novel approaches for 
denoising the images and point clouds with missing data, noise and complex 
backgrounds. They have also promoted the development of object recognition 
and segmentation technologies, improved the theories and methods of 
multi-sensor data-driven 3D reconstruction, thus forming unique theory 
systems for automatic reconstruction of 3D city models.","Postdoctoral Fellow Received Major National Honor at Higher Education 
Outstanding Scientific Research Output Awards 2013"
,"Understanding students' needs not only in pursuit of academic studies 
but also in sketching their own career path, the Department has recently 
launched the CSE jobEX programme with FDMT, a HR consulting firm uniquely 
focused on Gen Y employment.,Upholding the idea of educated job seeking, the workshops aim beyond 
teaching job searching skills. Students are nurtured to hunt job with a 
target profession in mind and build confidence. The workshops were 
innovatively tailor-made for CSE students pinpointing three major 
themes:,""We care for students in many aspects,"" according to Prof SC Cheung, 
Associate Head. ""Tertiary education encompasses both knowledge and 
experience, and that's why we endeavor to help students with their career 
orientation and job searching. We are here to provide all-rounded 
education to students."",Initially targeting at 60 intakes of CSE students, more than 200 
applied and over 100 of them have completing two workshops. ""The 
instructor brought me insights in knowing the job market and the practical 
skills in preparing myself for future career.  The programme helped me set 
a target profession for myself. I am more confident and have a clearer 
picture now,"" said Matthias Lau, the former Chairperson of CSESS.,More than 85% of the respondents feel confident to compile a job 
application in 30 minutes. 83% of them become more motivated in job 
hunting after the workshops and more than 80% agree the Department has 
significantly helped improve students' job hunting. The programme provides 
continuous support like job updates to keep students abreast with the 
changing market.",CSE Significantly Helped Improve Students' Job Hunting Skills
,"The Computer Science and Engineering Alumni Association (CSEAA) has 
started a one-year mentorship programme in March 2014. The programme aims 
at bringing mutual benefits to both the mentors and mentees and nurturing 
the latter into future pillars of the society. It is the first mentorship 
programme in the history of CSE.,Most of the mentors are graduates of CSE or related programmes at 
HKUST. The mentees are COMP/CPEG students, recent graduates, and first 
year students who are interested in pursuing the related programmes for 
their future studies.,The kick-off event was held on 29 March 2014 at HKUST. The Amber 
Rainstorm Warning Signal did not hinder the enthusiasm of participants. 
Over 30 mentors, more than 70 mentees, and around 10 faculty members 
joined the event. Mentors and mentees were formed into groups to play 
dramas in which excellent creativity and team spirit were demonstrated. 
Most of the participants could not wait and immediately scheduled their 
next meetings.,CSEAA Mentorship Programme is expected to be recurring in the coming 
years. Thus, we are looking for proactive CSE alumni to join our committee 
team and contribute in this big family.,
,
,
Email: ,
",The Start of CSEAA Mentorship Programme 2014
,"Hackathon@HKUST is the event organized by CSE Entrepreneurship Club 
(E-Club), a student-driven interest group with a mission to promote 
entrepreneurship within and beyond the CSE community. This student and 
alumni activity is in collaboration of MBA Technology Club, E-Academy, 
Computer Science and Engineering Alumni Association and various sponsoring 
companies and organisations.,The second information session was held on 3 April 2014 at HKUST. There 
was a long queue in the registration counter, but it did not hinder the 
enthusiasm of participants. It was a fantastic event with more than 100 
participants filling up the LTG. Participants were students, alumni and 
guests taking up roles of programmer, designer and 
businessman/businesswoman.,The event started with a briefing session about Hackathon@HKUST 2014 
and its rules, regulations, the judging panel, the judging criteria, and 
the Q & A session. It was followed by a presentation of inspiring 
topics given by Professor Po Chi Wu, Adjunct Professor of Mechanical and 
Aerospace Engineering. After that, groups of 10-12 participants were 
formed and they were given a chance to brainstorm the solutions for the 
problems we had given, and followed by group presentations. The 
ice-breaking session helped participants with different background mingle 
together.,The information session ended with a free networking session with 
refreshments. Participants were free to chat with other students, alumni, 
invited speakers and executive committee members. They could also find 
partners who are interested in working with, brainstorm ideas, build their 
own team, and even work out a preparation plan for the Hackathon 
event.,
There is a lot of hidden talent and ideas here at HKUST. There is also a 
lot of potential for collaboration among students, across departments and 
with our alumni. I believe that Hackathon@HKUST will be a pioneering event 
- an opportunity to connect students, ignite their ideas and broaden their 
horizons. This event will also help connect HKUST with the Hong Kong 
startup community. It's great to see the positive response we got so far. 
Lastly, I would like to thank Peter Chung, the Program Coordinator of the 
CSE E-Club, for his dedication and invaluable support throughout the 
launch of the CSE E-Club and preparation of Hackathon@HKUST.
,
I do think that we have to clearly distinguish between being an 
entrepreneur and having entrepreneurial mindset. While being entrepreneurs 
is too risky for some, having entrepreneurial mindset doesn't give you any 
risk and makes your life and others life better. One of the part that has 
been missing is the chance for people to ignite their ideas, that's why 
people come up with ideas that soon are forgotten. Hackathon@HKUST enables 
people to get their ideas kick-started, and hopefully the solution that 
they build will benefit the society. I think this is a great way to push 
the human being forward and I am proud to be a part of it.
,
With the upcoming Hackathon, we are aiming to excite participants about 
entrepreneurship, connect students across departments and levels of 
experience, enable ideation, and foster creativity.
,Seeing the enthusiasm and the participation level at the info session 
assured me that we have an exciting Hackathon weekend ahead.
,See the details of ,.,For enquiries, please feel free to contact:,
Peter Chung,
Program Coordinator,
CSE Entrepreneurship Club,
Email: ,
",The Second Information Session of Hackathon@HKUST 2014
,"Prof Long QUAN and his team developed breakthrough mapping technology. 
The current mapping technology of Google uses images taken from helicopters 
and from vehicles. The missing parts are manually filled. The results may 
not be very accurate. Prof Quan and his team develop an algorithm which can 
map the views of buildings and landmarks according to the images obtained. 
It replaces most of the manual input for filling in the missing parts and 
thus enhances the accuracy of images. The University is also collaborating 
with Thales Group, a French multinational aerospace, defence, transport, 
and security firm, to build up maps.,Media coverage:",Prof Long QUAN and his Team Developed Breakthrough Mapping Technology
,"PhD student Yepang LIU has been awarded the ACM SIGSOFT Distinguished 
Paper award in the 36th International Conference on Software Engineering 
held during 31 May - 7 June 2014 in India with his paper ""Characterizing 
and detecting performance bugs for smartphone application"". The work was 
under Yepang's collaboration with Prof Chang XU from Nanjing University. 
Prof Xu was a PhD graduate from CSE in 2008.",PhD Student Awarded ACM SIGSOFT Distinguished Paper Award
,"UG student, Ivan GONDOPRASTOWO, has been selected as the Silver Award in 
2014 President's Cup with his project ""Multi-stage Human-computer 
Interaction for Command Refining on an Intelligent Personal Assistant"". The 
project was supervised by Prof David Rossiter.",UG Student Bestowed Silver Award in 2014 President's Cup
,"PhD students, Wei BI and Yanjiao CHEN, have been awarded the 2014 
Google Hong Kong Anita Borg Scholarship. It is the second time for Yanjiao 
to win this scholarship.,The scholarship aims at encouraging women to excel in computing and 
technology and become active role models and leaders. It was awarded based 
on the strength of candidates' academic background and leadership. Wei and 
Yanjiao each will receive a HKD25,000 scholarship and will be invited to 
the scholars retreat in Google Beijing this summer.,For more information about the scholarship, please visit ,.",PhD Students Awarded 2014 Google Hong Kong Anita Borg Scholarship
,"With the generous support in the department of Mr Paul TSE to make a 
donation in memory of his parents, Tse Cheuk Ng Tai Research Excellence 
Prize and Tse Cheuk Ng Tai Undergraduate Research Opportunities Program 
Project Prize have been set up this academic year.,Tse Cheuk Ng Tai Research Excellence Prize aims at awarding the best 
postgraduate research result in the field of vision and graphics while Tse 
Cheuk Ng Tai Undergraduate Research Opportunities Program Project Prize 
aims at awarding the best UROP project in the field.,One Tse Cheuk Ng Tai Research Excellence Prize is awarded this year. 
PhD student ZHU Ning has been selected as the awardee. Ning's research 
interest is in the areas of image analysis and computer vision, especially 
medical image analysis.",Tse Cheuk Ng Tai Prizes
,"PhD student Naiyan WANG supervised by , has been awarded the prestigious Google PhD Fellowship in 
Machine Learning. Only 4 people among an extremely competitive pool of 
applicants are awarded the fellowship in China this year.,The fellowship program now in its sixth year covers North America, 
Europe, China, India, and Australia. The awardees are recognized for their 
incredible creativity, knowledge, and skills. Find out more at ,.",PhD Student Naiyan WANG Awarded Google PhD Fellowship 2014
,"Final year UGs, LAU Sing Keung, YIU Man Ting, and YUNG Sai Chu, beat 250 
teams and won the Silver Award and Best Practical Value Award in the final 
competition of China Pan-Pearl River Delta Region University IT Project 
Competition 2014 in Shenzhen in June 2014 with their final year project 
""Smart Eyes Protector"" supervised by ,. It is the first time for a Hong Kong team to be awarded the Best 
Practical Value Award. They occupied the 1st runner-up position in the 
first round of the competition in Hong Kong.,""Smart Eye Protector"" is an Android application that aims at preventing 
users from several common eyes diseases such as shortsightedness, 
strabismus, and so on. An image processing system is combined with a camera 
service to measure the distance between the screen and user's eyes and 
record the screen-on time. By using this information obtained from the 
image processing system, some rules are set to prevent user from using 
smartphone in improper manner. User will be warned by several formats- 
screen-block, warning message, and pop-up preview. A usage report is 
provided to users so that they can understand their habit of using 
smartphone.,.","UGs Won Silver Award and Best Practical Value Award in China Pan-Pearl 
River Delta Region University IT Project Competition 2014"
,"CSE co-organized the 10th International Conference on Multimedia 
Information Technology and Applications (MITA2014) with Korea Multimedia 
Society and Yonsei University during 8-11 July in HKUST. It attracted over 
100 researchers from Hong Kong, Portugal, Japan, Vietnam, Indonesia, 
Uzbekistan, Taiwan, and Korea.,MITA aims to encourage the research community of Asia-Pacific region to 
share the knowledge and experiences in the new media technologies and 
applications. The research aspects are in Multimedia Systems, Multimedia 
Technology in Internet Applications, Graphical Visualization and Modeling, 
Multimedia Industry Applications, Virtual Reality and Simulations, 
Bio-Medical Informatics, Green IT Applications, Digital Signal, Image and 
Video Processing, Multimedia Networks and Communications, etc. It provides 
the participants with an opportunity to exchange knowledge on the related 
topics, to design the future research strategies, and to explore 
collaboration.,More about the conference ,.","International Conference on Multimedia Information Technology and 
Applications 2014"
,"CSE PhD Fellowship student, Rongxin WU, has been awarded the ACM SIGSOFT 
Distinguished Paper Award at the International Symposium on Software 
Testing and Analysis (ISSTA 2014) held in San Jose, California during 21-25 
July 2014 with his paper ""CrashLocator: Locating Crashing Faults Based on 
Crash Stacks"". The work was under Rongxin's collaboration with Dr Hongyu 
ZHANG from Microsoft Research Asia, ,, 
and ,.",PhD Student Awarded ACM SIGSOFT Distinguished Paper Award
,"UG student Min XIE won the Best Submission Award in the SIGMOD 2014 
Undergraduate Research Poster Competition. The competition is a 
continuation of the SIGMOD Conference. UG students who had played a key 
role in data management research projects were invited to submit an 
abstract. Selected students were invited to present posters describing 
their research at the 2014 ACM SIGMOD/PODS Conference. There were 18 
submissions for this competition and 7 of them went to the final.,Min has just finished his UG study and will start her PhD study under 
the supervision of Dr Raymond Wong.,Read more about the ,.","UG Student Min XIE Won Best Submission Award in the SIGMOD 2014 UG 
Research Poster Competition"
,"The European Commission has funded ,'s cloud computing vision. Prof Hui is an associate partner of the 
project, ""CleanSky - Network for Cloud Computing Eco-System Evolution"", 
which is funded for 3.3M Euro by the European Commissions. The program is 
highly competitive with a selection successful rate from 8% to 13% in the 
past 5 years.,With the purpose of developing cloud computing research beyond its 
present state, CleanSky is a training network focused on educating early 
stage researchers at the PhD level and experienced researchers within a 
range of advanced methodologies and techniques. It will last 4 years from 
September 2014 to August 2018. The CleanSky consortium consists of 6 full 
partners and 4 associate partners from both academic and industrial fields. 
Being the Director of HKUST-DT System and Media Laboratory, Prof Hui plays 
a leading role in the joint research and training activities. He will 
co-supervise PhDs, host research visits of the researchers from the 
CleanSky network, and give invited talks and tutorials at summer schools 
and workshops.","The European Commission Has Funded Prof Pan HUI's Cloud Computing 
Vision"
,"PhD graduate (class of 2010), ,, has 
recently received the 1000 Talented Youth Award which is one of the most 
prestigious awards for young scientists in China. Dr Tang's research is on 
artificial intelligence and game theory. His PhD advisor was ,. Dr Tang is currently a faculty member 
of Tsinghua University.,Find out more about the , (in Chinese).",PhD Graduate Awarded Prestigious 1000 Talented Youth Award
,"The Engineering Student Ambassador (ESA) Program was launched by the 
School of Engineering in 2006. In the past few years, the ESAs representing 
CSE have actively participated in different outreach and recruitment 
activities and have helped promote Computer Science to the public.,This year, we are pleased to announce that nine CSE undergraduates who 
have demonstrated outgoing personality and strong enthusiasm have been 
selected to serve for one year (from June 2014 to December 2015).,The 9 ESAs this year are:",Engineering Student Ambassador Program 2014
,"
A delegation from Uppsala University, Sweden will visit our department and 
introduce its MSc and PhD programs. Please find the details below:
,Event: Meeting on Further Studies at Uppsala University,Date: 20 October 2014 (Monday),Time: 4-5pm,Venue: Rm4505 (lift 25/26), HKUST,Target: Open to all UGs,Prograom Rundown:,
,Registration Deadline: 17 October 2014 (Friday), 5:00pm",Meeting on Further Studies at Uppsala University
,"Among nearly 200 global submissions and 42 final candidates, the demo 
system ""gMission: a General Spatial Crowdsourcing Platform"" by Zhao CHEN 
(PG), Rui FU (PG), Ziyuan ZHAO (PG), Zheng LIU (PG), Leihao XIA (PG), Prof 
Lei CHEN, Peng CHENG (PG), Dr Chen CAO (Post-doc), Dr Yongxin TONG (PG 
graduate) and Chen ZHANG (PG) was awarded the Excellent Demonstration Award 
in the 40th International Conference on Very Large Data Bases(VLDB) 2014 in 
Hangzhou, China.,PG students, Zhao CHEN, Peng CHENG, Rui MENG, Jieying SHE, Ting WU, Yue 
WANG, Chen ZHANG, Rui FU, Leihao XIA, Yexin LI, and Ziyuan ZHAO, together 
with Dr Chen CAO from Prof Lei CHEN's group attended VLDB and demonstrated 
gMission software to all the audience in VLDB. This is the first time that 
this award is awarded to a team from the Greater China region.",CSE PGs Awarded ACM VLDB 2014 Excellent Demonstration Award
," is elected to the Very Large Data 
Base Endowment Inc. (VLDB Endowment) Board of Trustees.,The VLDB Endowment has a board of 21 elected trustees who are the legal 
guardians of the Endowment's charter and activities. The trustees are 
elected among internationally distinguished researchers and professionals 
in the field of database and information systems who have contributed to 
the objectives of the Endowment with dedication and distinction. Prof 
Chen's research expertise is in the areas of Crowdsourcing-based Data 
Processing, Uncertain and Probabilistic databases, Web data management, and 
Multimedia and Time series databases. He has published more than 200 
research manuscripts in prestigious forums such as VLDB, VLDB J., SIGMOD, 
TODS, TKDE, and ICDE, etc. on wide range of topics related to data 
management and data mining. More information about ,.",Prof Lei CHEN Elected to the VLDB Endowment Board of Trustees
,"The Professor Samuel Chanson Scholarship Fund was jointly set up by the 
family of Professor Samuel Chanson and the HKUST, in memory of Professor 
Chanson.,The fund has been used to set up a number of scholarships and awards, 
namely Professor Samuel Chanson Academic Excellence Scholarship, Professor 
Samuel Chanson Best Final Year Project Awards, and Professor Samuel Chanson 
Best Teaching Assistant Awards, to benefit HKUST students and teaching 
assistants.,In Academic Year 2013-14, the scholarship and awards are given to the 
following students in recognition of their great work during the year:, held on 10 
October 2014.",Professor Samuel Chanson Scholarship & Awards (2013-14)
,"A recent research paper by CSE PhD student, Yepang LIU, has been 
selected to be the feature article of the IEEE Transactions on Software 
Engineering in the issue of September 2014. The paper titled "","" (,) 
is ranked as one of the most popular research articles. The work was under 
Yepang's collaboration with Prof Chang XU (Nanjing University, CSE PhD 
Graduate), , (CSE, HKUST) and Prof Jian 
LU (Nanjing University).","Article by PhD Student Featured in IEEE Transactions on Software 
Engineering"
,"In the newly released U.S. News Best Global Universities for Computer 
Science Ranking, HKUST is ranked the 9, among the institutions 
from the U.S. and nearly 50 other countries. The ranking was based on the 
academic research performance and global and regional reputation of the 
institutions. See the full list of the ,.","HKUST Ranked the 9, Worldwide in the U.S. News Best Global 
Universities for Computer Science Ranking"
," has been appointed editor in 
chief of IEEE Transactions on Big Data.,Publishing peer-reviewed articles with big data as a main focus, IEEE 
Transactions on Big Data provides cross disciplinary innovative research 
ideas and applications results including novel theory, algorithms, and 
applications. Big data analytics, big data visualization, big data curation 
and management, big data semantics, big data infrastructure, big data 
standards, big data performance analyses, intelligence from big data, 
scientific discovery from big data security, privacy, legal issues specific 
to big data, and especially applications of big data in the fields of 
endeavor where massive data is generated are some of the research areas.,Read more on ,.","Prof Qiang YANG Appointed the Editor-in-Chief of IEEE Transactions on 
Big Data"
,"

Mr Ching LAW (羅征), the Vice President of the Social 
Network Group of Tencent, will come to HKUST for a sharing session for PG 
students.

,Event: Tencent Sharing Session,Date: 14 November 2014 (Friday),Time: 6:30-8pm,Venue: , (changed to Lecture Theater H),Target: PG Students,Speaker: 

Mr Ching LAW (羅征)

,

,Biography of Mr Ching Law:,
,

畢業於麻省理工學院，計算機科學博士。

,

現任騰訊公司效果廣告平台部副總經理。主要負責廣點通——騰訊社交效果營銷平台的全面管理工作。 

,

加入騰訊之前，曾在谷歌公司任職八年，負責過 AdSense
廣告系統、谷歌字典、廣東話拼音等項目的研發管理工作。

,Remarks: You may bring along your CV to the sharing session.,Registration Deadline: 12 November 2014 (Wednesday), 11:00am",Tencent Sharing Session
,"PhD student Conglei SHI has received the Honorable Mention for Best 
Paper Award at the IEEE Visual Analytics Science and Technology 2014 (IEEE 
VAST 2014) held during 9-14 November 2014 in Paris with his paper 
""LoyalTrakcer: Visualizing Loyalty Dynamics in Search Engines"".,IEEE VAST is the leading international conference dedicated to the 
advances in the science and technology of visual analytics. IEEE VAST and 
two other conferences, IEEE InfoVis and IEEE SciVis, form IEEE VIS 
(http://ieeevis.org), are premier forums in the visualization field. This 
paper is co-authored by Dr Yingcai WU and Dr Shixia LIU from MSRA, Dr Hong 
ZHOU from Shen Zhen University, and Prof Huamin QU. Dr Wu and Dr Zhou 
graduated from CSE with a PhD degree in 2009 under the supervision of Prof 
Qu.","PhD Student Won the Best Paper Honorable Mention Award at IEEE VAST 
2014"
,"Prof David ROSSITER has been awarded the Best MSc-IT Instructor Award. 
The award aims at recognizing excellence in teaching in the MSc-IT program. 
Awardee is selected based on the course evaluation and comments from the 
students.",Prof David ROSSITER Received the Best MSc-IT Instructor Award
," and , have been voted as two of the best ten lecturers by 
VERTEX, the House II Students Association.,The election is an independent initiative of the students to vote for 
the best lecturers and express their gratitude for lecturers' effort in 
education. The election was held from 13 October to 14 November 2014. The 
presentation ceremony was held on 26 November 2014.","Prof Gibson LAM and Prof David ROSSITER Voted Top Ten Lecturers by 
HKUST Students"
," has received a first place award 
and a runner-up award at the Wharton-QS Reimagine Education Awards 2014: 
Reimagine Education under the category of Chemists Online and Learning 
Analytics and that of Hybrid Learning respectively.,QS Quacquarelli Symonds has launched the first global awards for 
innovative higher education pedagogies enhancing learning and employability 
in partnership with The Wharton School of the University of Pennsylvania's 
SEI Center for Advanced Studies in Management this year. The awards aim at 
identifying the most innovative higher education pedagogies enhancing 
learning and employability. There were a total of over 400 entries. The 
entries were judged by 22 distinguished international multidisciplinary 
e-learning and traditional learning experts in higher and business 
education. More details are available at ,.","Prof TC PONG Received a First Place Award and a Runner-Up Award at the 
Wharton-QS Reimagine Education Awards 2014: Reimagine Education"
,"The 2nd HKUST-USC Joint Workshop on Big Data Applications was held on 12 
December 2014 at HKUST. Featuring six talks and a panel discussion, some 
killer applications brought by the Big Data, such as Geo-Crowdsourcing, 
Product Recommendation, and Human Motion Tracking, etc were discussed 
during the workshop. There were around 100 participants from local and 
overseas institutions and the industry.,More information about the ,.",The 2nd HKUST-USC Joint Workshop on Big Data Applications
,"Next Generation of Mining Software Repositories was held in HKUST during 
15-16 November 2014 as a pre- Foundations of Software Engineering 
Conference 2014 event. Top researchers were invited to talk about the 
up-coming challenges in the field of software research, the promising data 
sources, and how to enable stronger adoption of research. More than 50 
researchers and scholars participated in the event. More information on ,.",Next Generation of Mining Software Repositories
,"HKUST Android Application Design Contest aims at providing a chance to 
undergraduate/postgraduate students of HKUST to showcase their creativity 
and talent through an exciting programming contest on the Android 
smartphone platforms. It also serves as a valuable chance to promote 
teamwork and to improve leadership skills in the process of developing high 
quality mobile application programs. Alumni could participate as team 
advisors. 11 teams, 32 students and 3 alumni, joined the contest. Each team 
was required to develop an original piece of Android application program.,The final competition was held on 28 January 2015. It consisted of two 
rounds. Each team showcased their application program through a brief 
presentation and a poster to the judges in the first round. The judges then 
nominated five teams to the second round. The five teams demonstrated their 
application programs and made a thorough presentation of the programs to 
the judges.,The judge panel, comprising Prof Gary CHAN (CSE, HKUST), Prof Jogesh 
MUPPALA (CSE, HKUST), Mr Viveik SAIGAL (Sengital Ltd, and Prof Michael SUNG 
(ECE, HKUST), assessed the apps and provided advices on further 
development.,.,.",HKUST Android Application Design Contest 2014-2015
,"The annual School of Engineering (SENG) PhD Research Excellence Awards 
are granted to recognize and honor the outstanding achievement of the 
graduate students in SENG. After a rigorous review by the Engineering 
Research Committee consisting of faculty representatives from each 
department, Dr Yanjiao CHEN (2015 PhD graduate supervised by ,) is chosen as one of the three 
winners.","PhD Graduate Dr Yanjiao CHEN Awarded SENG PhD Research Excellence Award 
2014-2015"
,"This is the fifth time for HKUST and UCLA to jointly hold HKUST-UCLA the 
summer UG research program -- Research in Industrial Projects for 
Students-Hong Kong (RIPS-HK). The application is open to any UG students 
with HK- or China-citizenship.,Research in Industrial Projects for Students (RIPS) is an innovative 
education program launched by the founding director, Prof. Tony Chan, of 
the Institute of Pure and Applied Mathematics (IPAM) at UCLA in 2002. This 
is a nine-week summer program for senior undergraduate students to form 
teams of four to work on a real-world research project proposed by a 
sponsor from industry or the public sector under the guidance of an 
academic mentor. Most of these projects involve both analytic and 
computational work. The students, with direction from their academic mentor 
and industrial sponsor, will learn about the problem, master the latest 
analytical and computational approaches and techniques to solve it, and 
develop report-writing and public-speaking skills to be able to make 
professional presentations about the progress and results of their work to 
a scientific audience. Beside the RIPS program in Los Angeles, IPAM has 
collaborated with partners in Beijing and Berlin to offer RIPS-Beijing and 
RIPS-Berlin.,RIPS-HK was first launched at HKUST in 2011. Past industrial sponsors 
include Baidu, BGI, eBroker, Huawei, Lenovo, MetLife, Microsoft Research 
Asia (MSRA), and Hong Kong Observatory. RIPS-HK 2015 will run from 7 June 
2015 to 8 August 2015 at HKUST. It is essential that the students are 
available for the duration of the program; late arrivals and early 
departures are not possible.  Students selected to join RIPS-HK will 
receive a total of , as stipend upon successful completion 
of the project.,For more information, please visit , or email 
,. Deadline for application is ,.","HKUST-UCLA Joint Summer UG Research Program -- Research in Industrial 
Projects for Students-Hong Kong (RIPS-HK) 2015"
,"PhD graduate, Prof Jiangchuan LIU, was awarded the prestigious E.W.R. 
Steacie Fellowships from Natural Sciences and Engineering Research Council 
(NSERC).,The Fellowships aims at enhancing the career development of outstanding 
and highly promising university faculty who are earning a strong 
international reputation for original research. NSERC awards up to six 
Steacie Fellowships annually. Jiangchuan will spend the next two years 
investigating how massive media content can be efficiently generated, 
processed, and distributed among the crowd-sourcers and consumers via the 
latest social, mobile, and cloud computing and communication platforms. 
Jiangchuan is currently a professor in Simon Fraser University.,More information about the ,.,See also the ,.","PhD Graduate Awarded the Prestigious E.W.R. Steacie Fellowships from 
NSERC"
," has recently been appointed as the 
Associate Editor-in-Chief for IEEE Transactions on Knowledge and Data 
Engineering (TKDE).,The scope of TKDE includes the knowledge and data engineering aspects of 
computer science, artificial intelligence, electrical engineering, computer 
engineering, and other related fields. IEEE TKDE provides an international 
and interdisciplinary forum which enables knowledge exchange of new 
developments in knowledge and data engineering and the feasibility studies 
of the ideas in hardware and software.",Dr Lei CHEN Appointed as Associate Editor-in-Chief for IEEE TKDE
,"Prof Brian MAK and his research teammates, Prof Tim WOO (ECE), Albert 
WONG (ECE), Mr Dongpeng CHEN (PhD candidate), and Mr Kobe LAM (Research 
Assistant), received the Gold Award in the Web Accessibility Recognition 
Scheme in two consecutive years.,The team has further developed 「聰鳴語音工具箱」, an 
Android mobile application for hearing impaired children. The application 
helps enhance students' learning in Cantonese pronunciation by applying 
engineering knowledge to the community. It is the second application 
developed by the team for hearing impaired children.,The Web Accessibility Recognition Scheme is co-organized by the Office 
of the Government Chief Information Officer and the Equal Opportunities 
Commission since 2013. The scheme aims at recognizing the enterprises and 
organizations for adopting effective designs in websites and mobile 
applications to facilitate access by everyone including people with 
disabilities.,The two Android applications can be downloaded from Google Play:",Gold Award in Web Accessibility Recognition 2015
